Trial.Name,Ecotype,Ecotype-Control,Control,Day,Total.Infections,Ntot,Nobs,Ncens,ycens
Test1LL,VIII-A,Col,1,1,0,18,11,7,14
Test1LL,VIII-A,Col,1,2,0,18,11,7,14
Test1LL,VIII-A,Col,1,3,0,18,11,7,14
Test1LL,VIII-A,Col,1,4,0,18,11,7,14
Test1LL,VIII-A,Col,1,5,0,18,11,7,14
Test1LL,VIII-A,Col,1,6,0,18,11,7,14
Test1LL,VIII-A,Col,1,7,0,18,11,7,14
Test1LL,VIII-A,Col,1,8,2,18,11,7,14
Test1LL,VIII-A,Col,1,9,2,18,11,7,14
Test1LL,VIII-A,Col,1,10,6,18,11,7,14
Test1LL,VIII-A,Col,1,11,10,18,11,7,14
Test1LL,VIII-A,Col,1,12,11,18,11,7,14
Test1LL,VIII-A,Col,1,13,11,18,11,7,14
Test1LL,VIII-A,Col,1,14,11,18,11,7,14
Test1LL,VIII-A,VIII-A,0,1,0,13,7,6,14
Test1LL,VIII-A,VIII-A,0,2,0,13,7,6,14
Test1LL,VIII-A,VIII-A,0,3,0,13,7,6,14
Test1LL,VIII-A,VIII-A,0,4,0,13,7,6,14
Test1LL,VIII-A,VIII-A,0,5,0,13,7,6,14
Test1LL,VIII-A,VIII-A,0,6,0,13,7,6,14
Test1LL,VIII-A,VIII-A,0,7,0,13,7,6,14
Test1LL,VIII-A,VIII-A,0,8,2,13,7,6,14
Test1LL,VIII-A,VIII-A,0,9,4,13,7,6,14
Test1LL,VIII-A,VIII-A,0,10,6,13,7,6,14
Test1LL,VIII-A,VIII-A,0,11,7,13,7,6,14
Test1LL,VIII-A,VIII-A,0,12,7,13,7,6,14
Test1LL,VIII-A,VIII-A,0,13,7,13,7,6,14
Test1LL,VIII-A,VIII-A,0,14,7,13,7,6,14
Test1LL,VIII-B,Col,1,1,0,18,11,7,14
Test1LL,VIII-B,Col,1,2,0,18,11,7,14
Test1LL,VIII-B,Col,1,3,0,18,11,7,14
Test1LL,VIII-B,Col,1,4,0,18,11,7,14
Test1LL,VIII-B,Col,1,5,0,18,11,7,14
Test1LL,VIII-B,Col,1,6,0,18,11,7,14
Test1LL,VIII-B,Col,1,7,0,18,11,7,14
Test1LL,VIII-B,Col,1,8,2,18,11,7,14
Test1LL,VIII-B,Col,1,9,2,18,11,7,14
Test1LL,VIII-B,Col,1,10,6,18,11,7,14
Test1LL,VIII-B,Col,1,11,10,18,11,7,14
Test1LL,VIII-B,Col,1,12,11,18,11,7,14
Test1LL,VIII-B,Col,1,13,11,18,11,7,14
Test1LL,VIII-B,Col,1,14,11,18,11,7,14
Test1LL,VIII-B,VIII-B,0,1,0,16,9,7,14
Test1LL,VIII-B,VIII-B,0,2,0,16,9,7,14
Test1LL,VIII-B,VIII-B,0,3,0,16,9,7,14
Test1LL,VIII-B,VIII-B,0,4,0,16,9,7,14
Test1LL,VIII-B,VIII-B,0,5,0,16,9,7,14
Test1LL,VIII-B,VIII-B,0,6,0,16,9,7,14
Test1LL,VIII-B,VIII-B,0,7,0,16,9,7,14
Test1LL,VIII-B,VIII-B,0,8,3,16,9,7,14
Test1LL,VIII-B,VIII-B,0,9,7,16,9,7,14
Test1LL,VIII-B,VIII-B,0,10,9,16,9,7,14
Test1LL,VIII-B,VIII-B,0,11,9,16,9,7,14
Test1LL,VIII-B,VIII-B,0,12,9,16,9,7,14
Test1LL,VIII-B,VIII-B,0,13,9,16,9,7,14
Test1LL,VIII-B,VIII-B,0,14,9,16,9,7,14
Test1LL,XI-2,Col,1,1,0,18,11,7,14
Test1LL,XI-2,Col,1,2,0,18,11,7,14
Test1LL,XI-2,Col,1,3,0,18,11,7,14
Test1LL,XI-2,Col,1,4,0,18,11,7,14
Test1LL,XI-2,Col,1,5,0,18,11,7,14
Test1LL,XI-2,Col,1,6,0,18,11,7,14
Test1LL,XI-2,Col,1,7,0,18,11,7,14
Test1LL,XI-2,Col,1,8,2,18,11,7,14
Test1LL,XI-2,Col,1,9,2,18,11,7,14
Test1LL,XI-2,Col,1,10,6,18,11,7,14
Test1LL,XI-2,Col,1,11,10,18,11,7,14
Test1LL,XI-2,Col,1,12,11,18,11,7,14
Test1LL,XI-2,Col,1,13,11,18,11,7,14
Test1LL,XI-2,Col,1,14,11,18,11,7,14
Test1LL,XI-2,XI-2,0,1,0,16,6,10,14
Test1LL,XI-2,XI-2,0,2,0,16,6,10,14
Test1LL,XI-2,XI-2,0,3,0,16,6,10,14
Test1LL,XI-2,XI-2,0,4,0,16,6,10,14
Test1LL,XI-2,XI-2,0,5,0,16,6,10,14
Test1LL,XI-2,XI-2,0,6,0,16,6,10,14
Test1LL,XI-2,XI-2,0,7,0,16,6,10,14
Test1LL,XI-2,XI-2,0,8,0,16,6,10,14
Test1LL,XI-2,XI-2,0,9,1,16,6,10,14
Test1LL,XI-2,XI-2,0,10,3,16,6,10,14
Test1LL,XI-2,XI-2,0,11,3,16,6,10,14
Test1LL,XI-2,XI-2,0,12,6,16,6,10,14
Test1LL,XI-2,XI-2,0,13,6,16,6,10,14
Test1LL,XI-2,XI-2,0,14,6,16,6,10,14
Test1LL,XI-A,Col,1,1,0,18,11,7,14
Test1LL,XI-A,Col,1,2,0,18,11,7,14
Test1LL,XI-A,Col,1,3,0,18,11,7,14
Test1LL,XI-A,Col,1,4,0,18,11,7,14
Test1LL,XI-A,Col,1,5,0,18,11,7,14
Test1LL,XI-A,Col,1,6,0,18,11,7,14
Test1LL,XI-A,Col,1,7,0,18,11,7,14
Test1LL,XI-A,Col,1,8,2,18,11,7,14
Test1LL,XI-A,Col,1,9,2,18,11,7,14
Test1LL,XI-A,Col,1,10,6,18,11,7,14
Test1LL,XI-A,Col,1,11,10,18,11,7,14
Test1LL,XI-A,Col,1,12,11,18,11,7,14
Test1LL,XI-A,Col,1,13,11,18,11,7,14
Test1LL,XI-A,Col,1,14,11,18,11,7,14
Test1LL,XI-A,XI-A,0,1,0,14,12,2,14
Test1LL,XI-A,XI-A,0,2,0,14,12,2,14
Test1LL,XI-A,XI-A,0,3,0,14,12,2,14
Test1LL,XI-A,XI-A,0,4,0,14,12,2,14
Test1LL,XI-A,XI-A,0,5,0,14,12,2,14
Test1LL,XI-A,XI-A,0,6,0,14,12,2,14
Test1LL,XI-A,XI-A,0,7,0,14,12,2,14
Test1LL,XI-A,XI-A,0,8,2,14,12,2,14
Test1LL,XI-A,XI-A,0,9,3,14,12,2,14
Test1LL,XI-A,XI-A,0,10,8,14,12,2,14
Test1LL,XI-A,XI-A,0,11,12,14,12,2,14
Test1LL,XI-A,XI-A,0,12,12,14,12,2,14
Test1LL,XI-A,XI-A,0,13,12,14,12,2,14
Test1LL,XI-A,XI-A,0,14,12,14,12,2,14
Test1LL,XI-B,Col,1,1,0,18,11,7,14
Test1LL,XI-B,Col,1,2,0,18,11,7,14
Test1LL,XI-B,Col,1,3,0,18,11,7,14
Test1LL,XI-B,Col,1,4,0,18,11,7,14
Test1LL,XI-B,Col,1,5,0,18,11,7,14
Test1LL,XI-B,Col,1,6,0,18,11,7,14
Test1LL,XI-B,Col,1,7,0,18,11,7,14
Test1LL,XI-B,Col,1,8,2,18,11,7,14
Test1LL,XI-B,Col,1,9,2,18,11,7,14
Test1LL,XI-B,Col,1,10,6,18,11,7,14
Test1LL,XI-B,Col,1,11,10,18,11,7,14
Test1LL,XI-B,Col,1,12,11,18,11,7,14
Test1LL,XI-B,Col,1,13,11,18,11,7,14
Test1LL,XI-B,Col,1,14,11,18,11,7,14
Test1LL,XI-B,XI-B,0,1,0,16,10,6,14
Test1LL,XI-B,XI-B,0,2,0,16,10,6,14
Test1LL,XI-B,XI-B,0,3,0,16,10,6,14
Test1LL,XI-B,XI-B,0,4,0,16,10,6,14
Test1LL,XI-B,XI-B,0,5,0,16,10,6,14
Test1LL,XI-B,XI-B,0,6,0,16,10,6,14
Test1LL,XI-B,XI-B,0,7,0,16,10,6,14
Test1LL,XI-B,XI-B,0,8,0,16,10,6,14
Test1LL,XI-B,XI-B,0,9,6,16,10,6,14
Test1LL,XI-B,XI-B,0,10,6,16,10,6,14
Test1LL,XI-B,XI-B,0,11,10,16,10,6,14
Test1LL,XI-B,XI-B,0,12,10,16,10,6,14
Test1LL,XI-B,XI-B,0,13,10,16,10,6,14
Test1LL,XI-B,XI-B,0,14,10,16,10,6,14
Test1LL,XI-K,Col,1,1,0,18,11,7,14
Test1LL,XI-K,Col,1,2,0,18,11,7,14
Test1LL,XI-K,Col,1,3,0,18,11,7,14
Test1LL,XI-K,Col,1,4,0,18,11,7,14
Test1LL,XI-K,Col,1,5,0,18,11,7,14
Test1LL,XI-K,Col,1,6,0,18,11,7,14
Test1LL,XI-K,Col,1,7,0,18,11,7,14
Test1LL,XI-K,Col,1,8,2,18,11,7,14
Test1LL,XI-K,Col,1,9,2,18,11,7,14
Test1LL,XI-K,Col,1,10,6,18,11,7,14
Test1LL,XI-K,Col,1,11,10,18,11,7,14
Test1LL,XI-K,Col,1,12,11,18,11,7,14
Test1LL,XI-K,Col,1,13,11,18,11,7,14
Test1LL,XI-K,Col,1,14,11,18,11,7,14
Test1LL,XI-K,XI-K,0,1,0,15,7,8,14
Test1LL,XI-K,XI-K,0,2,0,15,7,8,14
Test1LL,XI-K,XI-K,0,3,0,15,7,8,14
Test1LL,XI-K,XI-K,0,4,0,15,7,8,14
Test1LL,XI-K,XI-K,0,5,0,15,7,8,14
Test1LL,XI-K,XI-K,0,6,0,15,7,8,14
Test1LL,XI-K,XI-K,0,7,0,15,7,8,14
Test1LL,XI-K,XI-K,0,8,0,15,7,8,14
Test1LL,XI-K,XI-K,0,9,2,15,7,8,14
Test1LL,XI-K,XI-K,0,10,5,15,7,8,14
Test1LL,XI-K,XI-K,0,11,6,15,7,8,14
Test1LL,XI-K,XI-K,0,12,7,15,7,8,14
Test1LL,XI-K,XI-K,0,13,7,15,7,8,14
Test1LL,XI-K,XI-K,0,14,7,15,7,8,14
Test2LL,VIII-A,Col,1,1,0,14,13,1,13
Test2LL,VIII-A,Col,1,2,0,14,13,1,13
Test2LL,VIII-A,Col,1,3,0,14,13,1,13
Test2LL,VIII-A,Col,1,4,0,14,13,1,13
Test2LL,VIII-A,Col,1,5,0,14,13,1,13
Test2LL,VIII-A,Col,1,6,0,14,13,1,13
Test2LL,VIII-A,Col,1,7,0,14,13,1,13
Test2LL,VIII-A,Col,1,8,3,14,13,1,13
Test2LL,VIII-A,Col,1,9,9,14,13,1,13
Test2LL,VIII-A,Col,1,10,12,14,13,1,13
Test2LL,VIII-A,Col,1,11,12,14,13,1,13
Test2LL,VIII-A,Col,1,12,13,14,13,1,13
Test2LL,VIII-A,Col,1,13,13,14,13,1,13
Test2LL,VIII-A,VIII-A,0,1,0,8,5,3,13
Test2LL,VIII-A,VIII-A,0,2,0,8,5,3,13
Test2LL,VIII-A,VIII-A,0,3,0,8,5,3,13
Test2LL,VIII-A,VIII-A,0,4,0,8,5,3,13
Test2LL,VIII-A,VIII-A,0,5,0,8,5,3,13
Test2LL,VIII-A,VIII-A,0,6,0,8,5,3,13
Test2LL,VIII-A,VIII-A,0,7,0,8,5,3,13
Test2LL,VIII-A,VIII-A,0,8,3,8,5,3,13
Test2LL,VIII-A,VIII-A,0,9,5,8,5,3,13
Test2LL,VIII-A,VIII-A,0,10,5,8,5,3,13
Test2LL,VIII-A,VIII-A,0,11,5,8,5,3,13
Test2LL,VIII-A,VIII-A,0,12,5,8,5,3,13
Test2LL,VIII-A,VIII-A,0,13,5,8,5,3,13
Test2LL,VIII-B,Col,1,1,0,14,13,1,13
Test2LL,VIII-B,Col,1,2,0,14,13,1,13
Test2LL,VIII-B,Col,1,3,0,14,13,1,13
Test2LL,VIII-B,Col,1,4,0,14,13,1,13
Test2LL,VIII-B,Col,1,5,0,14,13,1,13
Test2LL,VIII-B,Col,1,6,0,14,13,1,13
Test2LL,VIII-B,Col,1,7,0,14,13,1,13
Test2LL,VIII-B,Col,1,8,3,14,13,1,13
Test2LL,VIII-B,Col,1,9,9,14,13,1,13
Test2LL,VIII-B,Col,1,10,12,14,13,1,13
Test2LL,VIII-B,Col,1,11,12,14,13,1,13
Test2LL,VIII-B,Col,1,12,13,14,13,1,13
Test2LL,VIII-B,Col,1,13,13,14,13,1,13
Test2LL,VIII-B,VIII-B,0,1,0,10,7,3,13
Test2LL,VIII-B,VIII-B,0,2,0,10,7,3,13
Test2LL,VIII-B,VIII-B,0,3,0,10,7,3,13
Test2LL,VIII-B,VIII-B,0,4,0,10,7,3,13
Test2LL,VIII-B,VIII-B,0,5,0,10,7,3,13
Test2LL,VIII-B,VIII-B,0,6,0,10,7,3,13
Test2LL,VIII-B,VIII-B,0,7,0,10,7,3,13
Test2LL,VIII-B,VIII-B,0,8,1,10,7,3,13
Test2LL,VIII-B,VIII-B,0,9,5,10,7,3,13
Test2LL,VIII-B,VIII-B,0,10,7,10,7,3,13
Test2LL,VIII-B,VIII-B,0,11,7,10,7,3,13
Test2LL,VIII-B,VIII-B,0,12,7,10,7,3,13
Test2LL,VIII-B,VIII-B,0,13,7,10,7,3,13
Test2LL,XI-2,Col,1,1,0,14,13,1,13
Test2LL,XI-2,Col,1,2,0,14,13,1,13
Test2LL,XI-2,Col,1,3,0,14,13,1,13
Test2LL,XI-2,Col,1,4,0,14,13,1,13
Test2LL,XI-2,Col,1,5,0,14,13,1,13
Test2LL,XI-2,Col,1,6,0,14,13,1,13
Test2LL,XI-2,Col,1,7,0,14,13,1,13
Test2LL,XI-2,Col,1,8,3,14,13,1,13
Test2LL,XI-2,Col,1,9,9,14,13,1,13
Test2LL,XI-2,Col,1,10,12,14,13,1,13
Test2LL,XI-2,Col,1,11,12,14,13,1,13
Test2LL,XI-2,Col,1,12,13,14,13,1,13
Test2LL,XI-2,Col,1,13,13,14,13,1,13
Test2LL,XI-2,XI-2,0,1,0,8,6,2,13
Test2LL,XI-2,XI-2,0,2,0,8,6,2,13
Test2LL,XI-2,XI-2,0,3,0,8,6,2,13
Test2LL,XI-2,XI-2,0,4,0,8,6,2,13
Test2LL,XI-2,XI-2,0,5,0,8,6,2,13
Test2LL,XI-2,XI-2,0,6,0,8,6,2,13
Test2LL,XI-2,XI-2,0,7,0,8,6,2,13
Test2LL,XI-2,XI-2,0,8,0,8,6,2,13
Test2LL,XI-2,XI-2,0,9,1,8,6,2,13
Test2LL,XI-2,XI-2,0,10,2,8,6,2,13
Test2LL,XI-2,XI-2,0,11,3,8,6,2,13
Test2LL,XI-2,XI-2,0,12,3,8,6,2,13
Test2LL,XI-2,XI-2,0,13,6,8,6,2,13
Test2LL,XI-A,Col,1,1,0,14,13,1,13
Test2LL,XI-A,Col,1,2,0,14,13,1,13
Test2LL,XI-A,Col,1,3,0,14,13,1,13
